MARCA_ITV,MODELO_ITV,PROVINCIA_VEH,CILINDRADA_ITV,COUNT
"AJP","AJP PR7","Barcelona","600",2
"AJP","AJP PR7","Castellón/Castelló","600",1
"AJP","AJP PR7","Illes Balears","600",1
"AJP","AJP PR7","Madrid","600",1
"AJP","AJP PR7","Málaga","600",2
"AJP","AJP PR7","Murcia","600",1
"AJP","AJP PR7","Sevilla","600",1
"AJP","AJP PR7","Valencia/València","600",1
"AJP","AJP PR7","Zaragoza","600",1
"ALPINA DI RENANIA","STRADA 125CC","Barcelona","125",1
"APRILIA","RS 125","Barcelona","124",2
"APRILIA","RS 125","Castellón/Castelló","124",1
"APRILIA","RS 125","Coruña (A)","124",1
"APRILIA","RS 125","Granada","124",1
"APRILIA","RS 125","Sevilla","124",1
"APRILIA","RS 125","Zamora","124",1
"APRILIA","RS 457","Alicante/Alacant","457",2
"APRILIA","RS 457","Barcelona","457",6
"APRILIA","RS 457","Cantabria","457",1
"APRILIA","RS 457","Granada","457",2
"APRILIA","RS 457","Madrid","457",1
"APRILIA","RS 457","Sevilla","457",1
"APRILIA","RS 457","Valencia/València","457",2
"APRILIA","RS 660","Álava/Araba","659",1
"APRILIA","RS 660","Albacete","659",1
"APRILIA","RS 660","Alicante/Alacant","659",2
"APRILIA","RS 660","Almería","659",1
"APRILIA","RS 660","Asturias","659",1
"APRILIA","RS 660","Badajoz","659",1
"APRILIA","RS 660","Barcelona","659",7
"APRILIA","RS 660","Bizkaia","659",1
"APRILIA","RS 660","Cantabria","659",1
"APRILIA","RS 660","Illes Balears","659",1
"APRILIA","RS 660","Lleida","659",1
"APRILIA","RS 660","Madrid","659",9
"APRILIA","RS 660","Málaga","659",2
"APRILIA","RS 660","Palmas (Las)","659",1
"APRILIA","RS 660","Santa Cruz de Tenerife","659",2
"APRILIA","RS 660","Sevilla","659",3
"APRILIA","RS 660","Tarragona","659",1
"APRILIA","RS 660","Toledo","659",2
"APRILIA","RS 660","Valencia/València","659",4
"APRILIA","RSV4","Alicante/Alacant","1099",1
"APRILIA","RSV4","Coruña (A)","1099",1
"APRILIA","RSV4","Málaga","1099",2
"APRILIA","RX 125","Badajoz","124",3
"APRILIA","RX 125","Cáceres","124",1
"APRILIA","RX 125","Cádiz","124",2
"APRILIA","RX 125","Córdoba","124",1
"APRILIA","RX 125","Huelva","124",1
"APRILIA","RX 125","Huesca","124",1
"APRILIA","RX 125","Lleida","124",1
"APRILIA","RX 125","Madrid","124",2
"APRILIA","RX 125","Málaga","124",1
"APRILIA","RX 125","Murcia","124",1
"APRILIA","RX 125","Palmas (Las)","124",1
"APRILIA","RX 125","Sevilla","124",3
"APRILIA","RX 125","Tarragona","124",2
"APRILIA","RX 125","Toledo","124",1
"APRILIA","RX 125","Valencia/València","124",2
"APRILIA","SR GT 125","Alicante/Alacant","125",2
"APRILIA","SR GT 125","Barcelona","125",2
"APRILIA","SR GT 125","Bizkaia","125",1
"APRILIA","SR GT 125","Cádiz","125",6
"APRILIA","SR GT 125","Córdoba","125",1
"APRILIA","SR GT 125","Gipuzkoa","125",1
"APRILIA","SR GT 125","Girona","125",1
"APRILIA","SR GT 125","Huelva","125",1
"APRILIA","SR GT 125","Illes Balears","125",1
"APRILIA","SR GT 125","Málaga","125",4
"APRILIA","SR GT 125","Melilla","125",1
"APRILIA","SR GT 125","Palmas (Las)","125",2
"APRILIA","SR GT 125","Pontevedra","125",1
"APRILIA","SR GT 125","Santa Cruz de Tenerife","125",5
"APRILIA","SR GT 125","Sevilla","125",5
"APRILIA","SR GT 200","Cádiz","174",1
"APRILIA","SR GT 200","Guadalajara","174",1
"APRILIA","SR GT 200","Illes Balears","174",1
"APRILIA","SX 125","Alicante/Alacant","124",1
"APRILIA","SX 125","Barcelona","124",4
"APRILIA","SX 125","Bizkaia","124",1
"APRILIA","SX 125","Huelva","124",1
"APRILIA","SX 125","Illes Balears","124",2
"APRILIA","SX 125","Murcia","124",2
"APRILIA","SX 125","Navarra","124",1
"APRILIA","SX 125","Ourense","124",1
"APRILIA","SX 125","Rioja (La)","124",1
"APRILIA","SX 125","Santa Cruz de Tenerife","124",1
"APRILIA","SX 125","Valencia/València","124",1
"APRILIA","SX 125","Valladolid","124",1
"APRILIA","TUAREG 660","Albacete","659",2
"APRILIA","TUAREG 660","Ávila","659",1
"APRILIA","TUAREG 660","Barcelona","659",3
"APRILIA","TUAREG 660","Cádiz","659",3
"APRILIA","TUAREG 660","Cuenca","659",1
"APRILIA","TUAREG 660","Gipuzkoa","659",1
"APRILIA","TUAREG 660","León","659",1
"APRILIA","TUAREG 660","Lleida","659",1
"APRILIA","TUAREG 660","Madrid","659",6
"APRILIA","TUAREG 660","Málaga","659",3
"APRILIA","TUAREG 660","Palmas (Las)","659",1
"APRILIA","TUAREG 660","Sevilla","659",1
"APRILIA","TUAREG 660","Tarragona","659",1
"APRILIA","TUONO 125","Barcelona","124",1
"APRILIA","TUONO 125","Murcia","124",2
"APRILIA","TUONO 125","Tarragona","124",1
"APRILIA","TUONO 457","Málaga","457",1
