MARCA_ITV,MODELO_ITV,CILINDRADA_ITV,COUNT
"AJP","AJP PR7","600",9
"ALPINA DI RENANIA","STRADA 125CC","125",1
"APRILIA","RS 125","124",4
"APRILIA","RS 457","457",11
"APRILIA","RS 660","659",29
"APRILIA","RSV4","1099",2
"APRILIA","RX 125","124",26
"APRILIA","SR GT 125","125",129
"APRILIA","SR GT 200","174",1
"APRILIA","SX 125","124",6
"APRILIA","TUAREG 660","659",8
"APRILIA","TUONO 125","124",3
"APRILIA","TUONO 457","457",1
"APRILIA","TUONO 660","659",1
"APRILIA","TUONO V4","1077",2
"ARIIC","ARIIC 318","276",3
"BAJAJ","DOMINAR D 400","373",27
"BAJAJ","PULSAR NS 125","124",14
"BAJAJ","PULSAR NS 400 Z","373",30
"BENDA","BENDA 302","298",3
"BENDA","CHINCHILLA","476",8
"BENDA","LFC700","677",6
"BENDA","NAPOLEON","249",14
"BENDA","NAPOLEON 125","125",3
"BENDA","NAPOLEON 250","249",3
"BENDA","V-CRUISE","125",4
"BENELLI","752S","754",1
"BENELLI","BKX 125","125",3
"BENELLI","BN125","125",23
"BENELLI","LEONCINO 125","125",2
"BENELLI","LEONCINO 250","249",1
"BENELLI","LEONCINO 800 TRAIL","754",2
"BENELLI","LEONCINO BOBBER 400","385",2
"BENELLI","TORNADO 550","554",1
"BENELLI","TORNADO 550 35KW","554",1
"BENELLI","TRK 702","698",23
"BETA","EVO 2T 300CC 2020","297",1
"BETA","N/A","293",82
"BETA","RR 125 LC MY21","125",1
"BETA","RR 4T 350 RACING MY22","349",1
"BETA","RR 4T 390 MY24","386",1
"BMW","C 400 GT","350",27
"BMW","C 400 X","350",31
"BMW","F 800 GS","895",52
"BMW","F 900 GS","895",35
"BMW","F 900 GS ADVENTURE","895",22
"BMW","F 900 R","895",31
"BMW","F 900 R A2","895",10
"BMW","F 900 XR","895",32
"BMW","F 900 XR A2","895",9
"BMW","K 1600 B","1649",3
"BMW","K 1600 GT","1649",1
"BMW","K 1600 GTL","1649",6
"BMW","M 1000 R","999",2
"BMW","M 1000 RR","999",1
"BMW","M 1000 XR","999",15
"BMW","R 12","1170",6
"BMW","R 12 G/S","1170",12
"BMW","R 12 NINET","1170",10
"BMW","R 1250 GS","1254",2
"BMW","R 1250 GS ADVENTURE","1254",2
"BMW","R 1250 RT","1254",2
"BMW","R 1300 GS","1300",90
"BMW","R 1300 GS ADVENTURE","1300",84
"BMW","R 1300 R","1300",6
"BMW","R 1300 RS","1300",31
"BMW","R 1300 RT","1300",70
"BMW","R 18","1802",1
"BMW","R 18 B","1802",2
"BMW","R 18 TRANSCONTINENTAL","1802",3
"BMW","S 1000 R","999",5
"BMW","S 1000 RR","999",21
"BMW","S 1000 XR","999",30
"BRIXTON","CROSSFIRE 125","124",1
"BRIXTON","CROSSFIRE 500","486",1
"BRIXTON","CROSSFIRE125XS","125",1
"BSA","BANTAM","334",4
"BSA","GOLDSTAR","652",1
"CFMOTO","125 NK","124",14
"CFMOTO","300CL-X","292",1
"CFMOTO","450MT","449",114
"CFMOTO","450NK","449",1
"CFMOTO","675NK","674",8
"CFMOTO","675SR-R","674",7
"CFMOTO","700MT","693",27
"CFMOTO","800MT","799",13
"CFMOTO","800MT-X","799",9
"CYCLONE","CARRERA 125","125",9
"CYCLONE","LS-Z","124",18
"CYCLONE","RA125 PLUS","124",15
"CYCLONE","RA2","125",2
"CYCLONE","RT1","125",10
"CYCLONE","RT2","289",2
"CYCLONE","RX1","124",1
"CYCLONE","RX1 PRO","124",20
"CYCLONE","RX401","401",2
"CYCLONE","RX600","550",8
"CYCLONE","SR650","650",3
"DAYANG","SAIGA125","125",2
"DUCATI","DESERTX DISCOVERY","937",1
"DUCATI","DESERTX WHITE LIVERY","937",1
"DUCATI","DIAVEL V4","1158",5
"DUCATI","DIAVEL V4 RS","1103",3
"DUCATI","DUCATI SCRAMBLER NIGHT","803",7
"DUCATI","HYPERMOTARD 698 MONO D","659",1
"DUCATI","HYPERMOTARD 698 MONO R","659",2
"DUCATI","HYPERMOTARD 950 REPLIC","937",1
"DUCATI","MONSTER","937",1
"DUCATI","MULTISTRADA V2","890",35
"DUCATI","MULTISTRADA V4","1158",38
"DUCATI","PANIGALE V2","890",19
"DUCATI","PANIGALE V4","998",19
"DUCATI","SCRAMBLER FULL THROTTL","803",5
"DUCATI","SCRAMBLER ICON","803",2
"DUCATI","SCRAMBLER ICON DARK","803",10
"DUCATI","SCRAMBLER ICON RED","803",2
"DUCATI","SCRAMBLER ICON YELLOW","803",1
"DUCATI","SCRAMBLER NIGHTSHIFT N","803",2
"DUCATI","STREETFIGHTER","890",26
"DUCATI","XDIAVEL V4","1158",1
"EFUN","LION","125",20
"F.B MONDIAL","PIEGA 452","450",1
"FANTIC MOTOR","---","125",16
"GASGAS","EC 250","249",1
"GASGAS","EC 250F","250",2
"GASGAS","EC 300","293",14
"GASGAS","EC 350F","350",2
"GASGAS","EC 500F","510",1
"GASGAS","TXT 300","294",4
"HANWAY","BLACK CAFE","125",1
"HANWAY","PISTA 125","124",1
"HARLEY-DAVIDSON","BREAKOUT","1923",1
"HARLEY-DAVIDSON","CVO STREET GLIDE","1977",1
