MARCA_ITV,MODELO_ITV,PROVINCIA_VEH,COMUNIDAD_AUTONOMA,CILINDRADA_ITV,COUNT
"AJP","AJP PR7","Barcelona","Cataluña","600",3
"AJP","AJP PR7","Girona","Cataluña","600",1
"AJP","AJP PR7","Huesca","Aragón","600",1
"AJP","AJP PR7","Illes Balears","Illes Balears","600",1
"AJP","AJP PR7","Madrid","Comunidad de Madrid","600",2
"AJP","AJP PR7","Málaga","Andalucía","600",1
"ALPINA DI RENANIA","STRADA 125CC","Lleida","Cataluña","125",1
"APRILIA","RS 125","Barcelona","Cataluña","124",2
"APRILIA","RS 125","Cáceres","Extremadura","124",1
"APRILIA","RS 125","Palmas (Las)","Canarias","124",1
"APRILIA","RS 457","Barcelona","Cataluña","457",2
"APRILIA","RS 457","Gipuzkoa","País Vasco","457",2
"APRILIA","RS 457","Granada","Andalucía","457",1
"APRILIA","RS 457","Huesca","Aragón","457",1
"APRILIA","RS 457","Illes Balears","Illes Balears","457",1
"APRILIA","RS 457","Madrid","Comunidad de Madrid","457",3
"APRILIA","RS 457","Pontevedra","Galicia","457",1
"APRILIA","RS 660","Barcelona","Cataluña","659",2
"APRILIA","RS 660","Bizkaia","País Vasco","659",1
"APRILIA","RS 660","Illes Balears","Illes Balears","659",1
"APRILIA","RS 660","León","Castilla y León","659",1
"APRILIA","RS 660","Madrid","Comunidad de Madrid","659",15
"APRILIA","RS 660","Melilla","Melilla","659",1
"APRILIA","RS 660","Murcia","Región de Murcia","659",2
"APRILIA","RS 660","Palmas (Las)","Canarias","659",3
"APRILIA","RS 660","Santa Cruz de Tenerife","Canarias","659",2
"APRILIA","RS 660","Sevilla","Andalucía","659",1
"APRILIA","RSV4","Murcia","Región de Murcia","1099",1
"APRILIA","RSV4","Sevilla","Andalucía","1099",1
"APRILIA","RX 125","Ávila","Castilla y León","124",1
"APRILIA","RX 125","Badajoz","Extremadura","124",1
"APRILIA","RX 125","Barcelona","Cataluña","124",3
"APRILIA","RX 125","Cáceres","Extremadura","124",1
"APRILIA","RX 125","Cádiz","Andalucía","124",1
"APRILIA","RX 125","Córdoba","Andalucía","124",3
"APRILIA","RX 125","Huelva","Andalucía","124",1
"APRILIA","RX 125","Jaén","Andalucía","124",2
"APRILIA","RX 125","Málaga","Andalucía","124",3
"APRILIA","RX 125","Navarra","Comunidad Foral de Navarra","124",2
"APRILIA","RX 125","Palmas (Las)","Canarias","124",3
"APRILIA","RX 125","Salamanca","Castilla y León","124",3
"APRILIA","RX 125","Sevilla","Andalucía","124",1
"APRILIA","RX 125","Toledo","Castilla-La Mancha","124",1
"APRILIA","SR GT 125","Albacete","Castilla-La Mancha","125",2
"APRILIA","SR GT 125","Alicante/Alacant","Comunidad Valenciana","125",4
"APRILIA","SR GT 125","Asturias","Principado de Asturias","125",1
"APRILIA","SR GT 125","Badajoz","Extremadura","125",1
"APRILIA","SR GT 125","Barcelona","Cataluña","125",9
"APRILIA","SR GT 125","Bizkaia","País Vasco","125",6
"APRILIA","SR GT 125","Burgos","Castilla y León","125",1
"APRILIA","SR GT 125","Cáceres","Extremadura","125",2
"APRILIA","SR GT 125","Cádiz","Andalucía","125",15
"APRILIA","SR GT 125","Cantabria","Cantabria","125",2
"APRILIA","SR GT 125","Córdoba","Andalucía","125",3
"APRILIA","SR GT 125","Granada","Andalucía","125",4
"APRILIA","SR GT 125","Guadalajara","Castilla-La Mancha","125",1
"APRILIA","SR GT 125","Huelva","Andalucía","125",2
"APRILIA","SR GT 125","Illes Balears","Illes Balears","125",3
"APRILIA","SR GT 125","Jaén","Andalucía","125",2
"APRILIA","SR GT 125","Lugo","Galicia","125",1
"APRILIA","SR GT 125","Madrid","Comunidad de Madrid","125",22
"APRILIA","SR GT 125","Málaga","Andalucía","125",10
"APRILIA","SR GT 125","Murcia","Región de Murcia","125",1
"APRILIA","SR GT 125","Navarra","Comunidad Foral de Navarra","125",1
"APRILIA","SR GT 125","Palmas (Las)","Canarias","125",5
"APRILIA","SR GT 125","Pontevedra","Galicia","125",1
"APRILIA","SR GT 125","Rioja (La)","La Rioja","125",3
"APRILIA","SR GT 125","Santa Cruz de Tenerife","Canarias","125",14
"APRILIA","SR GT 125","Sevilla","Andalucía","125",7
"APRILIA","SR GT 125","Toledo","Castilla-La Mancha","125",1
"APRILIA","SR GT 125","Valencia/València","Comunidad Valenciana","125",4
"APRILIA","SR GT 125","Valladolid","Castilla y León","125",1
"APRILIA","SR GT 200","Barcelona","Cataluña","174",1
"APRILIA","SX 125","Cádiz","Andalucía","124",2
"APRILIA","SX 125","Huesca","Aragón","124",1
"APRILIA","SX 125","Madrid","Comunidad de Madrid","124",2
"APRILIA","SX 125","Murcia","Región de Murcia","124",1
"APRILIA","TUAREG 660","Cádiz","Andalucía","659",1
"APRILIA","TUAREG 660","Madrid","Comunidad de Madrid","659",2
"APRILIA","TUAREG 660","Málaga","Andalucía","659",3
"APRILIA","TUAREG 660","Toledo","Castilla-La Mancha","659",1
"APRILIA","TUAREG 660","Valencia/València","Comunidad Valenciana","659",1
"APRILIA","TUONO 125","Almería","Andalucía","124",1
"APRILIA","TUONO 125","Palmas (Las)","Canarias","124",1
"APRILIA","TUONO 125","Sevilla","Andalucía","124",1
"APRILIA","TUONO 457","Madrid","Comunidad de Madrid","457",1
"APRILIA","TUONO 660","Sevilla","Andalucía","659",1
"APRILIA","TUONO V4","Murcia","Región de Murcia","1077",1
"APRILIA","TUONO V4","Navarra","Comunidad Foral de Navarra","1077",1
"ARIIC","ARIIC 318","Alicante/Alacant","Comunidad Valenciana","276",1
"ARIIC","ARIIC 318","Gipuzkoa","País Vasco","276",1
"ARIIC","ARIIC 318","Madrid","Comunidad de Madrid","276",1
"BAJAJ","DOMINAR D 400","Barcelona","Cataluña","373",1
"BAJAJ","DOMINAR D 400","Illes Balears","Illes Balears","373",1
"BAJAJ","DOMINAR D 400","Madrid","Comunidad de Madrid","373",22
"BAJAJ","DOMINAR D 400","Sevilla","Andalucía","373",1
"BAJAJ","DOMINAR D 400","Valencia/València","Comunidad Valenciana","373",2
"BAJAJ","PULSAR NS 125","Barcelona","Cataluña","124",2
"BAJAJ","PULSAR NS 125","Girona","Cataluña","124",1
"BAJAJ","PULSAR NS 125","Granada","Andalucía","124",1
"BAJAJ","PULSAR NS 125","Illes Balears","Illes Balears","124",1
"BAJAJ","PULSAR NS 125","Madrid","Comunidad de Madrid","124",1
"BAJAJ","PULSAR NS 125","Murcia","Región de Murcia","124",1
"BAJAJ","PULSAR NS 125","Navarra","Comunidad Foral de Navarra","124",1
"BAJAJ","PULSAR NS 125","Santa Cruz de Tenerife","Canarias","124",1
"BAJAJ","PULSAR NS 125","Sevilla","Andalucía","124",2
"BAJAJ","PULSAR NS 125","Valencia/València","Comunidad Valenciana","124",2
"BAJAJ","PULSAR NS 125","Zaragoza","Aragón","124",1
"BAJAJ","PULSAR NS 400 Z","Álava/Araba","País Vasco","373",1
