MARCA_ITV,MODELO_ITV,CILINDRADA_ITV,COUNT
"AJP","SPR 125 ENDURO","124",1
"ANDES","U3 (125)","124",3
"APRILIA","RS 125","124",17
"APRILIA","RS 457","457",15
"APRILIA","RS 660","659",17
"APRILIA","RSV4","1099",5
"APRILIA","RX 125","124",14
"APRILIA","SR GT 125","125",32
"APRILIA","SR GT 200","174",8
"APRILIA","SX 125","124",10
"APRILIA","TUAREG 660","659",34
"APRILIA","TUONO 125","124",5
"APRILIA","TUONO 660","659",6
"APRILIA","TUONO 660 FACTORY","659",5
"APRILIA","TUONO V4","1077",7
"ARIIC","ARIIC 108","117",5
"ARIIC","ARIIC 318","276",2
"BAJAJ","DOMINAR D 400","373",9
"BAJAJ","PULSAR NS 125","124",19
"BENDA","CHINCHILLA","476",7
"BENDA","LFC700","676",17
"BENDA","NAPOLEON","476",13
"BENELLI","BN125","125",3
"BENELLI","IMPERIALE 400","374",1
"BENELLI","LEONCINO 125","125",2
"BENELLI","LEONCINO 500","500",6
"BENELLI","LEONCINO 500 TRAIL","500",29
"BENELLI","LEONCINO 800","754",1
"BENELLI","LEONCINO 800 TRAIL","754",1
"BENELLI","LEONCINO TRAIL","500",4
"BENELLI","TNT 125","125",3
"BENELLI","TRK 502 X","500",3
"BENELLI","TRK 702","698",43
"BENELLI","TRK502","500",2
"BETA","EVO 2T 300 FACTORY MY2","296",1
"BETA","EVO 2T 300CC MY23","296",1
"BETA","N/A","293",51
"BETA","RR 4T 350 MY24","349",1
"BETA","RR 4T 430 MY23","431",1
"BETA","XTRAINER 300CC MY24","293",1
"BMW","C 400 GT","350",111
"BMW","C 400 X","350",110
"BMW","F 800 GS","895",110
"BMW","F 900 GS","895",83
"BMW","F 900 GS ADVENTURE","895",58
"BMW","F 900 R","895",49
"BMW","F 900 R A2","895",14
"BMW","F 900 XR","895",62
"BMW","F 900 XR A2","895",8
"BMW","G 310 GS","313",6
"BMW","G 310 R","313",16
"BMW","K 1300 R","1293",1
"BMW","K 1600 B","1649",1
"BMW","K 1600 GT","1649",7
"BMW","K 1600 GTL","1649",8
"BMW","M 1000 R","999",4
"BMW","M 1000 RR","999",1
"BMW","M 1000 XR","999",18
"BMW","R 12","1170",9
"BMW","R 12 NINET","1170",18
"BMW","R 1250 GS ADVENTURE","1254",6
"BMW","R 1250 R","1254",6
"BMW","R 1250 RS","1254",7
"BMW","R 1250 RT","1254",53
"BMW","R 1300 GS","1300",285
"BMW","R 1300 GS ADVENTURE","1300",173
"BMW","R 18","1802",2
"BMW","R 18 B","1802",3
"BMW","R 18 CLASSIC","1802",2
"BMW","R 18 ROCTANE","1802",1
"BMW","R NINE T PURE","1170",8
"BMW","R NINE T PURE A2","1170",1
"BMW","R50/2","400",1
"BMW","S 1000 R","999",15
"BMW","S 1000 RR","999",28
"BMW","S 1000 XR","999",44
"BRIXTON","FELSBERG 125 ABS","125",2
"BRIXTON","RAYBURN 125","125",1
