MARCA_ITV,MODELO_ITV,PROVINCIA_VEH,COMUNIDAD_AUTONOMA,CILINDRADA_ITV,COUNT
"AJP","AJP PR7","Barcelona","Cataluña","600",3
"AJP","AJP PR7","Ciudad Real","Castilla-La Mancha","600",1
"AJP","AJP PR7","Guadalajara","Castilla-La Mancha","600",2
"AJP","AJP PR7","Illes Balears","Illes Balears","600",1
"AJP","AJP PR7","Pontevedra","Galicia","600",1
"AJP","AJP PR7","Sevilla","Andalucía","600",1
"ANDES","U3 (125)","Pontevedra","Galicia","124",1
"APRILIA","RS 125","Albacete","Castilla-La Mancha","124",1
"APRILIA","RS 125","Asturias","Principado de Asturias","124",1
"APRILIA","RS 125","Barcelona","Cataluña","124",2
"APRILIA","RS 125","Gipuzkoa","País Vasco","124",1
"APRILIA","RS 125","Illes Balears","Illes Balears","124",1
"APRILIA","RS 125","Madrid","Comunidad de Madrid","124",1
"APRILIA","RS 125","Segovia","Castilla y León","124",1
"APRILIA","RS 125","Sevilla","Andalucía","124",1
"APRILIA","RS 125","Valencia/València","Comunidad Valenciana","124",2
"APRILIA","RS 457","Alicante/Alacant","Comunidad Valenciana","457",1
"APRILIA","RS 457","Castellón/Castelló","Comunidad Valenciana","457",1
"APRILIA","RS 457","Guadalajara","Castilla-La Mancha","457",1
"APRILIA","RS 457","Illes Balears","Illes Balears","457",1
"APRILIA","RS 457","Madrid","Comunidad de Madrid","457",2
"APRILIA","RS 457","Málaga","Andalucía","457",1
"APRILIA","RS 457","Valencia/València","Comunidad Valenciana","457",1
"APRILIA","RS 457","Valladolid","Castilla y León","457",1
"APRILIA","RS 660","Córdoba","Andalucía","659",1
"APRILIA","RS 660","Huelva","Andalucía","659",1
"APRILIA","RS 660","Illes Balears","Illes Balears","659",1
"APRILIA","RS 660","Lugo","Galicia","659",1
"APRILIA","RS 660","Madrid","Comunidad de Madrid","659",2
"APRILIA","RS 660","Málaga","Andalucía","659",2
"APRILIA","RS 660","Palmas (Las)","Canarias","659",1
"APRILIA","RS 660","Santa Cruz de Tenerife","Canarias","659",1
"APRILIA","RS 660","Valencia/València","Comunidad Valenciana","659",2
"APRILIA","RSV4","Albacete","Castilla-La Mancha","1099",1
"APRILIA","RSV4","Barcelona","Cataluña","1099",1
"APRILIA","RSV4","Santa Cruz de Tenerife","Canarias","1099",1
"APRILIA","RSV4","Valencia/València","Comunidad Valenciana","1099",1
"APRILIA","RX 125","Alicante/Alacant","Comunidad Valenciana","124",1
"APRILIA","RX 125","Almería","Andalucía","124",2
"APRILIA","RX 125","Badajoz","Extremadura","124",4
"APRILIA","RX 125","Ciudad Real","Castilla-La Mancha","124",1
"APRILIA","RX 125","Córdoba","Andalucía","124",1
"APRILIA","RX 125","Gipuzkoa","País Vasco","124",1
"APRILIA","RX 125","Guadalajara","Castilla-La Mancha","124",1
"APRILIA","RX 125","Lleida","Cataluña","124",1
"APRILIA","RX 125","Madrid","Comunidad de Madrid","124",2
"APRILIA","RX 125","Málaga","Andalucía","124",2
"APRILIA","RX 125","Palencia","Castilla y León","124",1
"APRILIA","RX 125","Sevilla","Andalucía","124",3
"APRILIA","RX 125","Toledo","Castilla-La Mancha","124",1
"APRILIA","RX 125","Zaragoza","Aragón","124",3
"APRILIA","SR GT 125","Álava/Araba","País Vasco","125",1
"APRILIA","SR GT 125","Albacete","Castilla-La Mancha","125",1
"APRILIA","SR GT 125","Alicante/Alacant","Comunidad Valenciana","125",6
"APRILIA","SR GT 125","Barcelona","Cataluña","125",10
"APRILIA","SR GT 125","Cádiz","Andalucía","125",14
"APRILIA","SR GT 125","Ceuta","Ceuta","125",1
"APRILIA","SR GT 125","Córdoba","Andalucía","125",5
"APRILIA","SR GT 125","Girona","Cataluña","125",1
"APRILIA","SR GT 125","Huelva","Andalucía","125",1
"APRILIA","SR GT 125","Illes Balears","Illes Balears","125",4
"APRILIA","SR GT 125","Madrid","Comunidad de Madrid","125",3
"APRILIA","SR GT 125","Málaga","Andalucía","125",8
"APRILIA","SR GT 125","Murcia","Región de Murcia","125",4
"APRILIA","SR GT 125","Palmas (Las)","Canarias","125",6
"APRILIA","SR GT 125","Pontevedra","Galicia","125",3
"APRILIA","SR GT 125","Santa Cruz de Tenerife","Canarias","125",12
"APRILIA","SR GT 125","Sevilla","Andalucía","125",4
