MARCA_ITV,MODELO_ITV,CILINDRADA_ITV,COUNT
"AJP","AJP PR7","600",9
"ANDES","U3 (125)","124",1
"APRILIA","RS 125","124",11
"APRILIA","RS 457","457",9
"APRILIA","RS 660","659",12
"APRILIA","RSV4","1099",4
"APRILIA","RX 125","124",24
"APRILIA","SR GT 125","125",89
"APRILIA","SR GT 200","174",6
"APRILIA","SX 125","124",7
"APRILIA","TUAREG 660","659",4
"APRILIA","TUONO 457","457",3
"APRILIA","TUONO V4","1077",1
"BAJAJ","DOMINAR D 400","373",6
"BAJAJ","PULSAR NS 125","124",34
"BAJAJ","PULSAR NS 400 Z","373",14
"BENDA","CHINCHILLA","476",17
"BENDA","CHINCHILLA 350","343",5
"BENDA","DARKFLAG 500","496",1
"BENDA","LFC700","680",8
"BENDA","NAPOLEON","476",9
"BENDA","NAPOLEON 125","125",35
"BENDA","NAPOLEON 250","249",6
"BENDA","V302C","298",2
"BENELLI","502C CRUISER","500",1
"BENELLI","BKX 125","125",2
"BENELLI","BN125","125",16
"BENELLI","IMPERIALE 400","374",2
"BENELLI","LEONCINO 125","125",2
"BENELLI","LEONCINO BOBBER 400","385",2
"BENELLI","TORNADO 550","554",1
"BENELLI","TRK 251","249",1
"BENELLI","TRK 502 X","500",2
"BENELLI","TRK 702","698",18
"BETA","EVO 2T 125CC FACTORY M","125",1
"BETA","EVO 2T 300CC MY24","297",1
"BETA","N/A","293",86
"BETA","RR 2T 250 MY23","249",1
"BETA","RR 4T 125 T MY23","125",1
"BETA","RR 4T 390 MY24","386",1
"BMW","C 400 GT","350",98
"BMW","C 400 X","350",31
"BMW","F 800 GS","895",65
"BMW","F 900 GS","895",41
"BMW","F 900 GS ADVENTURE","895",39
"BMW","F 900 R","895",37
"BMW","F 900 R A2","895",24
"BMW","F 900 XR","895",40
"BMW","F 900 XR A2","895",10
"BMW","G 310 GS","313",2
"BMW","K 1600 B","1649",2
"BMW","K 1600 GT","1649",6
"BMW","K 1600 GTL","1649",1
"BMW","M 1000 R","999",7
"BMW","M 1000 RR","999",1
"BMW","M 1000 XR","999",24
"BMW","R 12","1170",7
"BMW","R 12 G/S","1170",12
"BMW","R 12 NINET","1170",12
"BMW","R 12 NINET A2","1170",1
"BMW","R 1300 GS","1300",123
"BMW","R 1300 GS ADVENTURE","1300",60
"BMW","R 1300 R","1300",7
"BMW","R 1300 RS","1300",23
"BMW","R 1300 RT","1300",53
"BMW","R 18","1802",1
"BMW","R 18 B","1802",1
"BMW","R 18 CLASSIC","1802",1
"BMW","R 18 TRANSCONTINENTAL","1802",1
"BMW","S 1000 R","999",11
"BMW","S 1000 RR","999",28
"BMW","S 1000 XR","999",24
