MARCA_ITV,MODELO_ITV,CILINDRADA_ITV,COUNT
"AJP","AJP PR7","600",10
"ALPINA DI RENANIA","STRADA 125CC","125",1
"ANDES","U3 (125)","124",1
"ANDES","U3(125)","124",2
"APRILIA","RS 125","124",14
"APRILIA","RS 457","457",11
"APRILIA","RS 660","659",42
"APRILIA","RSV4","1099",3
"APRILIA","RX 125","124",36
"APRILIA","SR GT 125","125",143
"APRILIA","SR GT 200","174",14
"APRILIA","SX 125","124",11
"APRILIA","TUAREG 660","659",19
"APRILIA","TUONO 125","124",6
"APRILIA","TUONO 457","457",3
"APRILIA","TUONO 660 FACTORY","659",1
"APRILIA","TUONO V4","1077",3
"ARIIC","ARIIC 108","117",1
"ARIIC","ARIIC 318","276",2
"ASIAWING","LKI450","449",1
"ASIAWING","NCI250","250",1
"BAJAJ","DOMINAR D 400","373",8
"BAJAJ","PULSAR NS 125","124",39
"BAJAJ","PULSAR NS 400 Z","373",9
"BENDA","BENDA 302","298",2
"BENDA","CHINCHILLA","476",32
"BENDA","LFC700","677",8
"BENDA","NAPOLEON","476",21
"BENDA","NAPOLEON 250","249",4
"BENDA","V-CRUISE","125",27
"BENELLI","502C CRUISER","500",1
"BENELLI","BN125","125",35
"BENELLI","IMPERIALE 400","374",1
"BENELLI","LEONCINO 500","500",1
"BENELLI","LEONCINO 800","754",1
"BENELLI","LEONCINO BOBBER 400","385",5
"BENELLI","TNT 125","125",1
"BENELLI","TORNADO 550","554",1
"BENELLI","TORNADO 550 35KW","554",1
"BENELLI","TRK 502 X","500",1
"BENELLI","TRK 702","698",50
"BENELLI","TRK502","500",2
"BETA","N/A","293",68
"BETA","RR 125 LC MY21","125",1
"BETA","RR 2T 200 MY24","190",1
"BETA","RR 4T 350 MY24","349",1
"BETA","RR 4T 480 MY22","478",1
"BMW","BMW R 51/3","494",1
"BMW","BMW R68","590",1
"BMW","BMW R69","594",1
"BMW","C 400 GT","350",65
"BMW","C 400 X","350",42
"BMW","F 800 GS","895",146
"BMW","F 900 GS","895",77
"BMW","F 900 GS ADVENTURE","895",45
"BMW","F 900 R","895",51
"BMW","F 900 R A2","895",23
"BMW","F 900 XR","895",58
"BMW","F 900 XR A2","895",13
"BMW","G 310 GS","313",2
"BMW","K 1600 GT","1649",8
"BMW","K 1600 GTL","1649",3
"BMW","M 1000 R","999",6
"BMW","M 1000 XR","999",26
"BMW","R 12","1170",5
"BMW","R 12 G/S","1170",27
"BMW","R 12 NINET","1170",14
"BMW","R 1300 GS","1300",185
"BMW","R 1300 GS ADVENTURE","1300",97
"BMW","R 1300 R","1300",12
"BMW","R 1300 RS","1300",45
"BMW","R 1300 RT","1300",131
"BMW","R 18","1802",3
"BMW","R 18 CLASSIC","1802",1
"BMW","S 1000 R","999",13
"BMW","S 1000 RR","999",29
"BMW","S 1000 XR","999",35
"BRIXTON","CROMWELL 1200","1222",1
"BRIXTON","CROMWELL 125","125",1
"BRIXTON","CROSSFIRE 500","486",3
"BRIXTON","CROSSFIRE125XS","125",1
"BRIXTON","FELSBERG 250","249",1
"BRIXTON","SAXBY 250","249",1
"BSA","BANTAM","334",6
"BSA","GOLDSTAR","652",1
"BSA","SCRAMBLER","652",6
"CFMOTO","125 NK","124",10
"CFMOTO","450CL-C","449",1
"CFMOTO","450MT","449",52
"CFMOTO","450NK","449",1
"CFMOTO","675NK","674",1
"CFMOTO","675SR-R","674",21
"CFMOTO","700MT","693",6
"CFMOTO","800MT","799",2
"CFMOTO","800MT-X","799",13
"CYCLONE","CARRERA 125","125",3
"CYCLONE","LS-Z","124",6
"CYCLONE","RA125 PLUS","124",8
"CYCLONE","RA2","125",3
"CYCLONE","RT1","125",6
"CYCLONE","RX1","124",4
"CYCLONE","RX1 PRO","124",15
"CYCLONE","RX401","401",1
"CYCLONE","RX600","550",8
"CYCLONE","SR650","650",2
"DUCATI","DESERT X","937",3
"DUCATI","DESERTX","937",4
"DUCATI","DESERTX RALLY","937",2
"DUCATI","DESERTX RALLY LIVERY","937",1
"DUCATI","DIAVEL V4","1158",2
"DUCATI","DIAVEL V4 BLACK","1158",1
"DUCATI","DUCATI SCRAMBLER","803",5
"DUCATI","HYPERMOTARD 698","659",2
"DUCATI","HYPERMOTARD 698 MONO D","659",1
"DUCATI","HYPERMOTARD 950","937",3
"DUCATI","MONSTER","937",1
"DUCATI","MULTISTRADA V2","890",18
"DUCATI","MULTISTRADA V4","1158",46
"DUCATI","PANIGALE V2","890",25
"DUCATI","PANIGALE V4","1103",5
"DUCATI","SCRAMBLER FULL THROTTL","803",2
"DUCATI","SCRAMBLER ICON DARK","803",6
"DUCATI","SCRAMBLER ICON YELLOW","803",2
"DUCATI","SCRAMBLER NIGHTSHIFT","803",3
"DUCATI","SCRAMBLER NIGHTSHIFT N","803",1
"DUCATI","STREETFIGHTER","890",28
"DUCATI","XDIAVEL V4","1158",1
"EFUN","LION","125",29
"F.B MONDIAL","IMOLA","125",1
"FANTIC MOTOR","---","125",24
"GASGAS","EC 250","249",3
"GASGAS","EC 250F","250",2
"GASGAS","EC 300","293",12
"GASGAS","EC 350F","350",2
"GASGAS","EC 450F","450",3
"GASGAS","TXT 250","248",2
"GASGAS","TXT 300","294",1
"HANWAY","PISTA 125","124",1
"HARLEY-DAVIDSON","BREAKOUT","1923",4
"HARLEY-DAVIDSON","CVO ROAD GLIDE ST","1977",1
"HARLEY-DAVIDSON","CVO STREET GLIDE","1977",2
"HARLEY-DAVIDSON","FAT BOY","1923",4
"HARLEY-DAVIDSON","FAT BOY GREY GHOST","1923",1
"HARLEY-DAVIDSON","LOW RIDER S","1923",1
"HARLEY-DAVIDSON","LOW RIDER ST","1923",1
"HARLEY-DAVIDSON","NIGHTSTER SPECIAL","975",2
"HARLEY-DAVIDSON","PAN AMERICA 1250 SPECI","1252",4
"HARLEY-DAVIDSON","PAN AMERICA 1250 ST","1252",3
"HARLEY-DAVIDSON","ROAD GLIDE","1923",3
"HARLEY-DAVIDSON","ROAD GLIDE LIMITED","1868",2
"HARLEY-DAVIDSON","ROAD KING SPECIAL","1868",2
"HARLEY-DAVIDSON","SPORTSTER S","1252",7
"HARLEY-DAVIDSON","STREET BOB","1923",5
"HARLEY-DAVIDSON","STREET GLIDE","1923",6
"HARLEY-DAVIDSON","STREET GLIDE ULTRA","1923",1
"HARLEY-DAVIDSON","ULTRA LIMITED","1868",1
"HERO MOTOCORP","HUNK 440","440",6
"HERO MOTOCORP","X PULSE 200 4V","200",13
"HONDA","ADV 350","330",340
"HONDA","ADV 750","745",200
"HONDA","C125A","124",5
"HONDA","CB 125 F","124",44
"HONDA","CB 500 F","471",28
"HONDA","CB 500 X","471",144
"HONDA","CB1000","1000",7
"HONDA","CB1000SP","1000",6
"HONDA","CB650RA","649",124
"HONDA","CB750 Hornet","755",113
"HONDA","CBF 125","125",47
"HONDA","CBF300NA","286",1
"HONDA","CBR 650 R","649",147
"HONDA","CBR1000","1000",4
"HONDA","CBR500","471",28
"HONDA","CBR600R3","599",38
"HONDA","CBR650RA","649",6
"HONDA","CL500","471",24
"HONDA","CMX1100","1084",10
"HONDA","CRF 300 L","286",28
"HONDA","CRF1100L Africa Twin","1084",101
"HONDA","CRF300LRA","286",4
"HONDA","FORZA 350","330",110
"HONDA","FORZA 750","745",134
"HONDA","FORZA125","125",289
"HONDA","GB350S","348",42
"HONDA","GL1800BD","1833",6
"HONDA","GL1800DA","1833",10
"HONDA","MSX125A","124",13
"HONDA","NC 750 X","745",119
"HONDA","NT1100","1084",39
"HONDA","PCX125","125",680
"HONDA","Rebel 500","471",32
"HONDA","SH Mode 125","125",61
"HONDA","SH125i","125",201
"HONDA","SH350i","330",60
"HONDA","ST125A","124",15
"HONDA","VISION 110","109",190
"HONDA","XL750 Transalp","755",138
"HONDA","Z125MA","124",10
"HUSQVARNA","HUSQVARNA 701 ENDURO","693",7
"HUSQVARNA","HUSQVARNA 701 SUPERMOT","693",3
"HUSQVARNA","HUSQVARNA 801 SVARTPIL","799",3
"HUSQVARNA","HUSQVARNA 801 VITPILEN","799",2
"HUSQVARNA","HUSQVARNA 901 NORDEN","889",4
"HUSQVARNA","HUSQVARNA 901 NORDEN E","889",7
"HUSQVARNA","HUSQVARNA FE 250","250",2
"HUSQVARNA","HUSQVARNA FE 350","350",3
"HUSQVARNA","HUSQVARNA FE 450","450",1
"HUSQVARNA","HUSQVARNA SVARTPILEN 4","399",2
"HUSQVARNA","HUSQVARNA SVARTPILEN12","125",10
"HUSQVARNA","HUSQVARNA TE 250","249",4
"HUSQVARNA","HUSQVARNA TE 300","293",23
"HUSQVARNA","HUSQVARNA VITPILEN 125","125",3
"HUSQVARNA","HUSQVARNA VITPILEN 401","399",1
"INDIAN MOTORCYCLE","101 SCOUT","1250",2
"INDIAN MOTORCYCLE","ROADMASTER POWERPLUS D","1834",1
"INDIAN MOTORCYCLE","SCOUT BOBBER","1250",1
"INDIAN MOTORCYCLE","SCOUT BOBBER LIMITED","1250",1
"INDIAN MOTORCYCLE","SCOUT BOBBER LIMITED +","1250",1
"INDIAN MOTORCYCLE","SCOUT BOBBER LIMITED+T","1250",2
"INDIAN MOTORCYCLE","SCOUT SIXTY BOBBER LIM","1000",1
"INDIAN MOTORCYCLE","SCOUT SIXTY CLASSIC LI","1000",1
"INDIAN MOTORCYCLE","SPORT CHIEF","1890",1
"INDIAN MOTORCYCLE","SPORT SCOUT LIMITED+TE","1250",2
"ITALJET","DRAGSTER125","124",2
"ITALJET","DRAGSTER300","278",2
"JIAJUE","RETRO 125","125",1
"KAWASAKI","ELIMINATOR","451",26
"KAWASAKI","NINJA 1100SX","1099",4
"KAWASAKI","NINJA 125","125",10
"KAWASAKI","NINJA 500","451",21
"KAWASAKI","NINJA 650","649",32
"KAWASAKI","NINJA H2 SX","998",1
"KAWASAKI","NINJA ZX-10R","998",5
"KAWASAKI","NINJA ZX-4R","399",30
"KAWASAKI","NINJA ZX-6R","636",29
"KAWASAKI","VERSYS 1100","1099",23
"KAWASAKI","VERSYS 650","649",39
"KAWASAKI","VULCAN S","649",20
"KAWASAKI","W800","773",2
"KAWASAKI","Z1100","1099",12
"KAWASAKI","Z125","125",10
"KAWASAKI","Z500","451",27
"KAWASAKI","Z650","649",59
"KAWASAKI","Z650RS","649",21
"KAWASAKI","Z900","948",166
"KAWASAKI","Z900RS","948",3
"KEEWAY","GEMMA","117",16
"KEEWAY","ICON 125 S","124",8
"KEEWAY","M502N","486",5
"KEEWAY","RKF 125 ABS","125",11
"KEEWAY","RKS 125","124",15
"KEEWAY","VERSILIA 125","125",3
"KEEWAY","VIESTE 125","125",25
"KEEWAY","VIESTE 125LX","125",1
"KEEWAY","VIESTE 125XDV","125",4
"KEEWAY","VIESTE 300XDV","278",1
"KEEWAY","VIESTE300 XDV","278",2
"KEEWAY","X-LIGHT 125","125",3
"KEEWAY","XDV 125 EVO PRO","125",50
"KEEWAY","ZAHARA 125","125",1
"KOVE","450 RALLY","449",34
"KOVE","450 RALLY E5+","449",1
"KOVE","KOVE 800 X PRO","799",113
"KOVE","KOVE 800 X RALLY","799",10
"KOVE","NK 125 R","125",3
"KTM","KTM 125 DUKE","125",37
"KTM","KTM 125 ENDURO","125",12
"KTM","KTM 125 SMC R","125",6
"KTM","KTM 1290 SUPER ADVENTU","1301",1
"KTM","KTM 1390 SUPER ADVENTU","1350",9
"KTM","KTM 1390 SUPER DUKE R","1350",3
"KTM","KTM 250 EXC","249",12
"KTM","KTM 300 EXC","293",53
"KTM","KTM 350 EXC-F","350",10
"KTM","KTM 390 ADVENTURE","373",1
"KTM","KTM 390 ADVENTURE R","399",62
"KTM","KTM 390 ADVENTURE X","399",3
"KTM","KTM 390 DUKE","399",16
"KTM","KTM 390 ENDURO","399",13
"KTM","KTM 390 ENDURO R","399",5
"KTM","KTM 390 SMC R","399",6
"KTM","KTM 450 EXC-F","450",4
"KTM","KTM 450 RALLY FACTORY","449",1
