MARCA_ITV,MODELO_ITV,PROVINCIA_VEH,COMUNIDAD_AUTONOMA,CILINDRADA_ITV,COUNT
"AJP","AJP PR7","Alicante/Alacant","Comunidad Valenciana","600",1
"AJP","AJP PR7","Asturias","Principado de Asturias","600",1
"AJP","AJP PR7","Ávila","Castilla y León","600",1
"AJP","AJP PR7","Barcelona","Cataluña","600",1
"AJP","AJP PR7","Cádiz","Andalucía","600",1
"AJP","AJP PR7","Ciudad Real","Castilla-La Mancha","600",1
"AJP","AJP PR7","Coruña (A)","Galicia","600",2
"AJP","AJP PR7","Madrid","Comunidad de Madrid","600",1
"AJP","AJP PR7","Palmas (Las)","Canarias","600",1
"ALPINA DI RENANIA","STRADA 125CC","Barcelona","Cataluña","125",1
"ANDES","U3 (125)","Palmas (Las)","Canarias","124",1
"ANDES","U3(125)","Pontevedra","Galicia","124",2
"APRILIA","RS 125","Alicante/Alacant","Comunidad Valenciana","124",1
"APRILIA","RS 125","Asturias","Principado de Asturias","124",1
"APRILIA","RS 125","Badajoz","Extremadura","124",1
"APRILIA","RS 125","Barcelona","Cataluña","124",2
"APRILIA","RS 125","Coruña (A)","Galicia","124",2
"APRILIA","RS 125","Madrid","Comunidad de Madrid","124",1
"APRILIA","RS 125","Málaga","Andalucía","124",1
"APRILIA","RS 125","Murcia","Región de Murcia","124",2
"APRILIA","RS 125","Navarra","Comunidad Foral de Navarra","124",1
"APRILIA","RS 125","Palmas (Las)","Canarias","124",1
"APRILIA","RS 125","Santa Cruz de Tenerife","Canarias","124",1
"APRILIA","RS 457","Barcelona","Cataluña","457",2
"APRILIA","RS 457","Bizkaia","País Vasco","457",1
"APRILIA","RS 457","Guadalajara","Castilla-La Mancha","457",1
"APRILIA","RS 457","Madrid","Comunidad de Madrid","457",4
"APRILIA","RS 457","Sevilla","Andalucía","457",1
"APRILIA","RS 457","Tarragona","Cataluña","457",1
"APRILIA","RS 457","Zaragoza","Aragón","457",1
"APRILIA","RS 660","Albacete","Castilla-La Mancha","659",1
"APRILIA","RS 660","Alicante/Alacant","Comunidad Valenciana","659",2
"APRILIA","RS 660","Almería","Andalucía","659",1
"APRILIA","RS 660","Barcelona","Cataluña","659",8
"APRILIA","RS 660","Burgos","Castilla y León","659",1
"APRILIA","RS 660","Cádiz","Andalucía","659",3
"APRILIA","RS 660","Castellón/Castelló","Comunidad Valenciana","659",1
"APRILIA","RS 660","Girona","Cataluña","659",2
"APRILIA","RS 660","Illes Balears","Illes Balears","659",1
"APRILIA","RS 660","León","Castilla y León","659",1
"APRILIA","RS 660","Lleida","Cataluña","659",1
