MARCA_ITV,MODELO_ITV,CILINDRADA_ITV,COUNT
"AJP","AJP PR7","600",22
"APRILIA","RS 125","124",18
"APRILIA","RS 457","457",14
"APRILIA","RS 660","659",24
"APRILIA","RSV4","1099",5
"APRILIA","RX 125","124",30
"APRILIA","SR GT 125","125",152
"APRILIA","SR GT 200","174",4
"APRILIA","SX 125","124",21
"APRILIA","TUAREG 660","659",12
"APRILIA","TUONO 125","124",3
"APRILIA","TUONO 457","457",7
"APRILIA","TUONO 660","659",2
"APRILIA","TUONO V4","1077",4
"ARIIC","ARIIC 318","276",4
"BAJAJ","DOMINAR D 400","373",13
"BAJAJ","PULSAR NS 125","124",61
"BAJAJ","PULSAR NS 400 Z","373",25
"BENDA","BENDA 302","298",1
"BENDA","CHINCHILLA","476",18
"BENDA","LFC700","677",11
"BENDA","NAPOLEON","476",22
"BENDA","NAPOLEON 250","249",4
"BENDA","V-CRUISE","125",40
"BENELLI","502C CRUISER","500",1
"BENELLI","BN125","125",40
"BENELLI","IMPERIALE 400","374",3
"BENELLI","LEONCINO 125","125",2
"BENELLI","LEONCINO BOBBER 400","385",1
"BENELLI","TORNADO 550 35KW","554",2
"BENELLI","TRK 502 X","500",1
"BENELLI","TRK 702","698",32
"BENELLI","TRK502","500",3
"BETA","EVO 2T 300CC MY24","297",1
"BETA","N/A","293",77
"BETA","RR 125 LC MY21 SM","125",1
"BETA","RR 4T 125 R MY24 ENDUR","125",1
"BETA","RR 4T 430 MY24","431",2
"BETA","XTRAINER 300CC MY24","293",1
"BMW","C 400 GT","350",65
"BMW","C 400 X","350",52
"BMW","F 800 GS","895",114
"BMW","F 900 GS","895",43
"BMW","F 900 GS ADVENTURE","895",43
"BMW","F 900 R","895",45
"BMW","F 900 R A2","895",15
"BMW","F 900 XR","895",48
"BMW","F 900 XR A2","895",5
"BMW","G 310 GS","313",4
"BMW","G 310 R","313",1
"BMW","K 1600 GT","1649",1
"BMW","K 1600 GTL","1649",3
"BMW","M 1000 R","999",8
"BMW","M 1000 RR","999",1
"BMW","M 1000 XR","999",29
"BMW","R 12","1170",10
"BMW","R 12 G/S","1170",26
"BMW","R 12 NINET","1170",12
