MARCA_ITV,MODELO_ITV,PROVINCIA_VEH,COMUNIDAD_AUTONOMA,CILINDRADA_ITV,COUNT
"APRILIA","RS 125","Alicante/Alacant","Comunidad Valenciana","124",1
"APRILIA","RS 125","Cádiz","Andalucía","124",1
"APRILIA","RS 125","Cantabria","Cantabria","124",1
"APRILIA","RS 125","Córdoba","Andalucía","124",1
"APRILIA","RS 125","Granada","Andalucía","124",1
"APRILIA","RS 125","Toledo","Castilla-La Mancha","124",1
"APRILIA","RS 457","Madrid","Comunidad de Madrid","457",2
"APRILIA","RS 457","Valencia/València","Comunidad Valenciana","457",1
"APRILIA","RS 660","Illes Balears","Illes Balears","659",1
"APRILIA","RS 660","Madrid","Comunidad de Madrid","659",1
"APRILIA","RS 660","Sevilla","Andalucía","659",1
"APRILIA","RX 125","Cádiz","Andalucía","124",1
"APRILIA","RX 125","Castellón/Castelló","Comunidad Valenciana","124",1
"APRILIA","RX 125","Huelva","Andalucía","124",1
"APRILIA","RX 125","Sevilla","Andalucía","124",1
"APRILIA","SR GT 125","Alicante/Alacant","Comunidad Valenciana","125",4
"APRILIA","SR GT 125","Barcelona","Cataluña","125",2
"APRILIA","SR GT 125","Cádiz","Andalucía","125",4
"APRILIA","SR GT 125","Cantabria","Cantabria","125",2
"APRILIA","SR GT 125","Castellón/Castelló","Comunidad Valenciana","125",1
"APRILIA","SR GT 125","Córdoba","Andalucía","125",3
"APRILIA","SR GT 125","Coruña (A)","Galicia","125",1
"APRILIA","SR GT 125","Granada","Andalucía","125",3
"APRILIA","SR GT 125","Huelva","Andalucía","125",1
"APRILIA","SR GT 125","Illes Balears","Illes Balears","125",6
"APRILIA","SR GT 125","Madrid","Comunidad de Madrid","125",4
"APRILIA","SR GT 125","Málaga","Andalucía","125",3
"APRILIA","SR GT 125","Murcia","Región de Murcia","125",3
"APRILIA","SR GT 125","Palmas (Las)","Canarias","125",2
"APRILIA","SR GT 125","Pontevedra","Galicia","125",5
"APRILIA","SR GT 125","Sevilla","Andalucía","125",5
"APRILIA","SR GT 125","Valencia/València","Comunidad Valenciana","125",3
"APRILIA","SR GT 200","Bizkaia","País Vasco","174",1
"APRILIA","SR GT 200","Girona","Cataluña","174",1
"APRILIA","SR GT 200","Lleida","Cataluña","174",1
"APRILIA","SR GT 400","Barcelona","Cataluña","399",1
"APRILIA","SR GT 400","Illes Balears","Illes Balears","399",1
"APRILIA","SR GT 400","Madrid","Comunidad de Madrid","399",1
"APRILIA","SR GT 400","Murcia","Región de Murcia","399",2
"APRILIA","SR GT 400","Sevilla","Andalucía","399",1
"APRILIA","SX 125","Alicante/Alacant","Comunidad Valenciana","124",1
"APRILIA","SX 125","Cáceres","Extremadura","124",1
"APRILIA","SX 125","Cádiz","Andalucía","124",1
"APRILIA","SX 125","Cantabria","Cantabria","124",1
"APRILIA","SX 125","Illes Balears","Illes Balears","124",2
