MARCA_ITV,MODELO_ITV,CILINDRADA_ITV,COUNT
"AJP","AJP PR7","600",7
"ANDES","U3 (125)","124",1
"APRILIA","RS 125","124",6
"APRILIA","RS 457","457",8
"APRILIA","RS 660","659",13
"APRILIA","RSV4","1099",2
"APRILIA","RX 125","124",20
"APRILIA","SR GT 125","125",28
"APRILIA","SX 125","124",6
"APRILIA","TUAREG 660","659",16
"APRILIA","TUONO 125","124",3
"APRILIA","TUONO 660","659",1
"APRILIA","TUONO 660 FACTORY","659",1
"APRILIA","TUONO V4","1077",4
"ARIIC","ARIIC 108","117",14
"ARIIC","ARIIC 318","276",1
"BAJAJ","DOMINAR D 400","373",11
"BAJAJ","PULSAR NS 125","124",10
"BENDA","CHINCHILLA","476",7
"BENDA","LFC700","676",18
"BENDA","NAPOLEON","476",10
"BENELLI","502C CRUISER","500",1
"BENELLI","BN125","125",2
"BENELLI","LEONCINO 125","125",7
"BENELLI","LEONCINO 500","500",4
"BENELLI","LEONCINO 500 TRAIL","500",1
"BENELLI","LEONCINO 800","754",1
"BENELLI","LEONCINO TRAIL","500",11
"BENELLI","TNT 125","125",1
"BENELLI","TRK 251","249",1
"BENELLI","TRK 502 X","500",3
"BENELLI","TRK 702","698",26
"BENELLI","TRK502","500",4
"BETA","EVO 2T 300 FACTORY MY2","296",1
"BETA","EVO 2T 300CC MY24","297",1
"BETA","N/A","293",60
"BETA","RR 125 LC MY21","125",1
"BETA","RR 2T 125 MY24","125",1
"BETA","RR 2T 125 RACING MY24","125",1
"BETA","RR 2T 250 MY23","249",1
"BETA","RR 2T 300 MY23","293",1
"BETA","RR 2T 300 MY24","293",1
"BETA","RR 2T 300 RACING MY23","293",1
"BETA","RR 4T 390 MY24","386",1
"BETA","RR 4T 390 RACING MY24","386",1
"BETA","XTRAINER 300CC MY24","293",1
"BMW","C 400 GT","350",89
"BMW","C 400 X","350",57
"BMW","F 750 GS","853",1
"BMW","F 800 GS","895",67
"BMW","F 850 GS ADVENTURE","853",4
"BMW","F 900 GS","895",47
"BMW","F 900 GS ADVENTURE","895",38
"BMW","F 900 R","895",21
"BMW","F 900 R A2","895",2
"BMW","F 900 XR","895",7
"BMW","F 900 XR A2","895",6
"BMW","G 310 GS","313",6
"BMW","G 310 R","313",7
"BMW","K 1600 B","1649",3
"BMW","K 1600 GT","1649",5
"BMW","K 1600 GTL","1649",4
"BMW","M 1000 R","999",2
"BMW","M 1000 RR","999",1
"BMW","M 1000 XR","999",44
"BMW","R 12","1170",14
"BMW","R 12 NINET","1170",12
"BMW","R 12 NINET A2","1170",1
"BMW","R 1250 GS ADVENTURE","1254",4
"BMW","R 1250 R","1254",6
"BMW","R 1250 RS","1254",7
"BMW","R 1250 RT","1254",50
"BMW","R 1300 GS","1300",167
"BMW","R 1300 GS ADVENTURE","1300",162
"BMW","R 18","1802",2
"BMW","R 18 CLASSIC","1802",3
"BMW","R 18 TRANSCONTINENTAL","1802",1
"BMW","R NINE T PURE","1170",1
"BMW","S 1000 R","999",1
"BMW","S 1000 RR","999",35
"BMW","S 1000 XR","999",36
"BRIXTON","CROMWELL 125","125",3
"BRIXTON","CROSSFIRE 125","124",1
"BRIXTON","CROSSFIRE 500","486",1
"BRIXTON","CROSSFIRE125XS","125",1
"BRIXTON","FELSBERG 125","125",1
"BRIXTON","FELSBERG 125 ABS","125",1
"BRIXTON","FELSBERG XC","125",1
"BRIXTON","SUNRAY 125 ABS","125",1
"CFMOTO","300CL-X","292",4
"CFMOTO","300NK","292",1
"CFMOTO","300SR","292",1
"CFMOTO","450CL-C","449",2
"CFMOTO","450MT","449",10
"CFMOTO","450NK","449",2
"CFMOTO","450SR S","449",1
"CFMOTO","650NK","649",1
"CFMOTO","700CL-X ADV","693",1
"CFMOTO","700CL-X HERITAGE","693",1
"CFMOTO","700CL-X SPORT","693",1
"CFMOTO","700MT","693",5
"CFMOTO","800MT","799",24
