MARCA_ITV,MODELO_ITV,PROVINCIA_VEH,COMUNIDAD_AUTONOMA,CILINDRADA_ITV,COUNT
"AJP","AJP PR7","Alicante/Alacant","Comunidad Valenciana","600",2
"AJP","AJP PR7","Barcelona","Cataluña","600",3
"AJP","AJP PR7","Bizkaia","País Vasco","600",1
"AJP","AJP PR7","Córdoba","Andalucía","600",1
"AJP","AJP PR7","Gipuzkoa","País Vasco","600",1
"AJP","AJP PR7","León","Castilla y León","600",1
"AJP","AJP PR7","Lleida","Cataluña","600",1
"AJP","AJP PR7","Madrid","Comunidad de Madrid","600",5
"AJP","AJP PR7","Melilla","Melilla","600",1
"AJP","AJP PR7","Palmas (Las)","Canarias","600",2
"AJP","AJP PR7","Rioja (La)","La Rioja","600",1
"AJP","AJP PR7","Sevilla","Andalucía","600",1
"AJP","AJP PR7","Tarragona","Cataluña","600",1
"AJP","SPR 125 ENDURO","Granada","Andalucía","124",1
"AJP","SPR 125 ENDURO","Sevilla","Andalucía","124",1
"ALPINA DI RENANIA","STRADA 125CC","Badajoz","Extremadura","125",1
"ALPINA DI RENANIA","STRADA 125CC","Barcelona","Cataluña","125",1
"ANDES","U3 (125)","Asturias","Principado de Asturias","124",2
"ANDES","U3 (125)","Coruña (A)","Galicia","124",1
"ANDES","U3 (125)","Jaén","Andalucía","124",1
"ANDES","U3 (125)","Murcia","Región de Murcia","124",1
"ANDES","U3 (125)","Pontevedra","Galicia","124",2
"ANDES","U3 (125)","Santa Cruz de Tenerife","Canarias","124",2
"ANDES","U3 (125)","Zaragoza","Aragón","124",1
"APRILIA","RS 125","Alicante/Alacant","Comunidad Valenciana","124",2
"APRILIA","RS 125","Barcelona","Cataluña","124",1
"APRILIA","RS 125","Cádiz","Andalucía","124",1
"APRILIA","RS 125","Granada","Andalucía","124",1
"APRILIA","RS 125","Lleida","Cataluña","124",1
"APRILIA","RS 125","Málaga","Andalucía","124",1
"APRILIA","RS 125","Sevilla","Andalucía","124",1
"APRILIA","RS 457","Álava/Araba","País Vasco","457",1
"APRILIA","RS 457","Badajoz","Extremadura","457",1
"APRILIA","RS 457","Barcelona","Cataluña","457",7
"APRILIA","RS 457","Bizkaia","País Vasco","457",1
"APRILIA","RS 457","Cádiz","Andalucía","457",1
"APRILIA","RS 457","Girona","Cataluña","457",1
"APRILIA","RS 457","Lleida","Cataluña","457",1
"APRILIA","RS 457","Madrid","Comunidad de Madrid","457",4
"APRILIA","RS 457","Málaga","Andalucía","457",2
"APRILIA","RS 457","Melilla","Melilla","457",1
"APRILIA","RS 457","Murcia","Región de Murcia","457",1
"APRILIA","RS 457","Navarra","Comunidad Foral de Navarra","457",2
"APRILIA","RS 457","Palmas (Las)","Canarias","457",1
"APRILIA","RS 457","Toledo","Castilla-La Mancha","457",1
"APRILIA","RS 457","Valencia/València","Comunidad Valenciana","457",1
"APRILIA","RS 660","Albacete","Castilla-La Mancha","659",1
"APRILIA","RS 660","Almería","Andalucía","659",2
"APRILIA","RS 660","Badajoz","Extremadura","659",1
"APRILIA","RS 660","Barcelona","Cataluña","659",3
"APRILIA","RS 660","Bizkaia","País Vasco","659",1
"APRILIA","RS 660","Cádiz","Andalucía","659",5
"APRILIA","RS 660","Coruña (A)","Galicia","659",1
"APRILIA","RS 660","Girona","Cataluña","659",1
"APRILIA","RS 660","Illes Balears","Illes Balears","659",1
"APRILIA","RS 660","Madrid","Comunidad de Madrid","659",4
"APRILIA","RS 660","Málaga","Andalucía","659",3
"APRILIA","RS 660","Murcia","Región de Murcia","659",2
"APRILIA","RS 660","Navarra","Comunidad Foral de Navarra","659",1
"APRILIA","RS 660","Palmas (Las)","Canarias","659",1
"APRILIA","RS 660","Pontevedra","Galicia","659",2
"APRILIA","RS 660","Santa Cruz de Tenerife","Canarias","659",1
"APRILIA","RS 660","Sevilla","Andalucía","659",2
"APRILIA","RS 660","Tarragona","Cataluña","659",1
"APRILIA","RS 660","Toledo","Castilla-La Mancha","659",1
"APRILIA","RS 660","Valencia/València","Comunidad Valenciana","659",1
"APRILIA","RSV4","Barcelona","Cataluña","1099",2
"APRILIA","RSV4","Cádiz","Andalucía","1099",2
"APRILIA","RSV4","Girona","Cataluña","1099",1
"APRILIA","RSV4","Madrid","Comunidad de Madrid","1099",1
"APRILIA","RSV4","Pontevedra","Galicia","1099",1
"APRILIA","RSV4","Santa Cruz de Tenerife","Canarias","1099",1
"APRILIA","RX 125","Ávila","Castilla y León","124",1
