MARCA_ITV,MODELO_ITV,CILINDRADA_ITV,COUNT
"AJP","AJP PR7","600",9
"AJP","SPR 240 ENDURO","233",1
"ANDES","U3 (125)","124",3
"APRILIA","RS 125","124",11
"APRILIA","RS 457","457",8
"APRILIA","RS 660","659",18
"APRILIA","RSV4","1099",7
"APRILIA","RX 125","124",23
"APRILIA","SR GT 125","125",139
"APRILIA","SR GT 200","174",5
"APRILIA","SX 125","124",10
"APRILIA","TUAREG 660","659",12
"APRILIA","TUONO 125","124",2
"APRILIA","TUONO 457","457",3
"APRILIA","TUONO V4","1077",5
"ARIIC","ARIIC 108","117",1
"ARIIC","ARIIC 318","276",1
"BAJAJ","DOMINAR D 400","373",4
"BAJAJ","PULSAR NS 125","124",31
"BAJAJ","PULSAR NS 400 Z","373",9
"BENDA","BENDA 302","298",1
"BENDA","CHINCHILLA","476",8
"BENDA","LFC700","677",10
"BENDA","NAPOLEON","476",21
"BENDA","V-CRUISE","125",38
"BENELLI","BN125","125",30
"BENELLI","LEONCINO 125","125",3
"BENELLI","LEONCINO 250","249",1
"BENELLI","LEONCINO 500","500",1
"BENELLI","LEONCINO 500 TRAIL","500",1
"BENELLI","LEONCINO 800 TRAIL","754",1
"BENELLI","TRK 702","698",17
"BENELLI","TRK502","500",1
"BETA","EVO 2T 300CC MY24","297",1
"BETA","N/A","293",21
"BETA","RR 125 LC MY21","125",1
"BMW","C 400 GT","350",35
"BMW","C 400 X","350",24
"BMW","F 800 GS","895",97
"BMW","F 900 GS","895",15
"BMW","F 900 GS ADVENTURE","895",46
"BMW","F 900 R","895",46
"BMW","F 900 R A2","895",13
"BMW","F 900 XR","895",47
"BMW","F 900 XR A2","895",7
"BMW","G 310 GS","313",7
"BMW","G 310 R","313",1
"BMW","K 1600 GT","1649",2
"BMW","K 1600 GTL","1649",6
"BMW","M 1000 R","999",1
"BMW","M 1000 XR","999",21
"BMW","R 12","1170",7
"BMW","R 12 G/S","1170",32
"BMW","R 12 NINET","1170",15
"BMW","R 1250 R","1254",2
"BMW","R 1250 RT","1254",1
"BMW","R 1300 GS","1300",70
"BMW","R 1300 GS ADVENTURE","1300",79
"BMW","R 1300 R","1300",13
"BMW","R 1300 RS","1300",20
"BMW","R 1300 RT","1300",66
"BMW","R 18","1802",4
"BMW","R 18 B","1802",2
"BMW","R 18 CLASSIC","1802",4
"BMW","R 18 ROCTANE","1802",1
"BMW","R 18 TRANSCONTINENTAL","1802",2
"BMW","S 1000 R","999",15
"BMW","S 1000 RR","999",18
"BMW","S 1000 XR","999",20
"BRIXTON","CROMWELL 1200","1222",1
"BRIXTON","CROMWELL 125","125",1
"BRIXTON","CROSSFIRE 500","486",1
"BRIXTON","CROSSFIRE125XS","125",1
"BRIXTON","FELSBERG 125","125",2
"BRIXTON","SAXBY 250","249",1
"BSA","GOLDSTAR","652",1
"CFMOTO","125 NK","124",4
"CFMOTO","300CL-X","292",1
"CFMOTO","450CL-C","449",1
"CFMOTO","450MT","449",158
"CFMOTO","450NK","449",1
"CFMOTO","675 NK","674",1
"CFMOTO","675SR-R","674",5
"CFMOTO","700CL-X","693",1
"CFMOTO","700MT","693",1
"CFMOTO","800MT","799",1
"CFMOTO","800MT-X","799",1
"CYCLONE","LS-Z","124",21
"CYCLONE","RA125 PLUS","124",7
"CYCLONE","RA2","125",8
"CYCLONE","RT1","125",13
"CYCLONE","RT2","289",2
"CYCLONE","RT3S","289",2
"CYCLONE","RX1","124",6
"CYCLONE","RX1 PRO","124",21
