MARCA_ITV,MODELO_ITV,PROVINCIA_VEH,COMUNIDAD_AUTONOMA,CILINDRADA_ITV,COUNT
"AJP","AJP PR7","Alicante/Alacant","Comunidad Valenciana","600",2
"AJP","AJP PR7","Almería","Andalucía","600",1
"AJP","AJP PR7","Barcelona","Cataluña","600",2
"AJP","AJP PR7","Ceuta","Ceuta","600",1
"AJP","AJP PR7","Girona","Cataluña","600",1
"AJP","AJP PR7","Illes Balears","Illes Balears","600",1
"AJP","AJP PR7","León","Castilla y León","600",1
"AJP","AJP PR7","Murcia","Región de Murcia","600",2
"AJP","AJP PR7","Sevilla","Andalucía","600",1
"AJP","SPR 125 ENDURO","Sevilla","Andalucía","124",1
"ALPINA DI RENANIA","STRADA 125CC","Barcelona","Cataluña","125",1
"ALPINA DI RENANIA","STRADA 125CC","Girona","Cataluña","125",1
"ANDES","U3 (125)","Asturias","Principado de Asturias","124",1
"ANDES","U3 (125)","Barcelona","Cataluña","124",3
"ANDES","U3 (125)","Pontevedra","Galicia","124",2
"APRILIA","RS 125","Alicante/Alacant","Comunidad Valenciana","124",1
"APRILIA","RS 125","Almería","Andalucía","124",1
"APRILIA","RS 125","Barcelona","Cataluña","124",2
"APRILIA","RS 125","Castellón/Castelló","Comunidad Valenciana","124",1
"APRILIA","RS 125","Coruña (A)","Galicia","124",1
"APRILIA","RS 125","Girona","Cataluña","124",1
"APRILIA","RS 125","Lleida","Cataluña","124",1
"APRILIA","RS 125","Madrid","Comunidad de Madrid","124",1
"APRILIA","RS 125","Málaga","Andalucía","124",1
"APRILIA","RS 125","Palmas (Las)","Canarias","124",1
"APRILIA","RS 125","Santa Cruz de Tenerife","Canarias","124",1
"APRILIA","RS 125","Sevilla","Andalucía","124",1
"APRILIA","RS 125","Valencia/València","Comunidad Valenciana","124",3
"APRILIA","RS 250","Valencia/València","Comunidad Valenciana","249",1
"APRILIA","RS 457","Alicante/Alacant","Comunidad Valenciana","457",1
"APRILIA","RS 457","Almería","Andalucía","457",1
"APRILIA","RS 457","Barcelona","Cataluña","457",2
"APRILIA","RS 457","Bizkaia","País Vasco","457",1
"APRILIA","RS 457","Illes Balears","Illes Balears","457",2
"APRILIA","RS 457","Lleida","Cataluña","457",1
"APRILIA","RS 457","Madrid","Comunidad de Madrid","457",4
"APRILIA","RS 457","Murcia","Región de Murcia","457",1
"APRILIA","RS 457","Palmas (Las)","Canarias","457",1
"APRILIA","RS 457","Sevilla","Andalucía","457",1
"APRILIA","RS 457","Valencia/València","Comunidad Valenciana","457",1
"APRILIA","RS 457","Zaragoza","Aragón","457",1
"APRILIA","RS 660","Alicante/Alacant","Comunidad Valenciana","659",1
"APRILIA","RS 660","Barcelona","Cataluña","659",8
"APRILIA","RS 660","Bizkaia","País Vasco","659",2
"APRILIA","RS 660","Cádiz","Andalucía","659",1
"APRILIA","RS 660","Coruña (A)","Galicia","659",1
"APRILIA","RS 660","Illes Balears","Illes Balears","659",2
"APRILIA","RS 660","Madrid","Comunidad de Madrid","659",1
"APRILIA","RS 660","Málaga","Andalucía","659",3
"APRILIA","RS 660","Murcia","Región de Murcia","659",2
"APRILIA","RS 660","Palmas (Las)","Canarias","659",2
"APRILIA","RS 660","Santa Cruz de Tenerife","Canarias","659",1
"APRILIA","RS 660","Sevilla","Andalucía","659",3
"APRILIA","RS 660","Valencia/València","Comunidad Valenciana","659",1
"APRILIA","RS 660","Zaragoza","Aragón","659",1
"APRILIA","RSV4","Albacete","Castilla-La Mancha","1099",1
"APRILIA","RSV4","Barcelona","Cataluña","1099",2
"APRILIA","RSV4","Coruña (A)","Galicia","1099",2
"APRILIA","RSV4","Girona","Cataluña","1099",1
"APRILIA","RSV4","Murcia","Región de Murcia","1099",1
"APRILIA","RSV4","Ourense","Galicia","1099",1
"APRILIA","RSV4","Sevilla","Andalucía","1099",1
"APRILIA","RSV4","Valencia/València","Comunidad Valenciana","1099",1
"APRILIA","RX 125","Alicante/Alacant","Comunidad Valenciana","124",1
"APRILIA","RX 125","Almería","Andalucía","124",1
"APRILIA","RX 125","Ávila","Castilla y León","124",1
"APRILIA","RX 125","Badajoz","Extremadura","124",1
"APRILIA","RX 125","Cádiz","Andalucía","124",1
"APRILIA","RX 125","Córdoba","Andalucía","124",3
"APRILIA","RX 125","Granada","Andalucía","124",1
"APRILIA","RX 125","León","Castilla y León","124",1
"APRILIA","RX 125","Lleida","Cataluña","124",1
"APRILIA","RX 125","Madrid","Comunidad de Madrid","124",1
"APRILIA","RX 125","Málaga","Andalucía","124",1
"APRILIA","RX 125","Murcia","Región de Murcia","124",1
"APRILIA","RX 125","Sevilla","Andalucía","124",3
"APRILIA","RX 125","Toledo","Castilla-La Mancha","124",1
"APRILIA","RX 125","Valladolid","Castilla y León","124",1
"APRILIA","RX 125","Zaragoza","Aragón","124",1
"APRILIA","SR GT 125","Albacete","Castilla-La Mancha","125",3
"APRILIA","SR GT 125","Alicante/Alacant","Comunidad Valenciana","125",13
"APRILIA","SR GT 125","Asturias","Principado de Asturias","125",3
"APRILIA","SR GT 125","Barcelona","Cataluña","125",33
"APRILIA","SR GT 125","Bizkaia","País Vasco","125",2
"APRILIA","SR GT 125","Burgos","Castilla y León","125",1
"APRILIA","SR GT 125","Cáceres","Extremadura","125",1
"APRILIA","SR GT 125","Cádiz","Andalucía","125",24
"APRILIA","SR GT 125","Cantabria","Cantabria","125",4
"APRILIA","SR GT 125","Castellón/Castelló","Comunidad Valenciana","125",1
"APRILIA","SR GT 125","Ciudad Real","Castilla-La Mancha","125",1
"APRILIA","SR GT 125","Córdoba","Andalucía","125",6
"APRILIA","SR GT 125","Gipuzkoa","País Vasco","125",2
"APRILIA","SR GT 125","Girona","Cataluña","125",4
"APRILIA","SR GT 125","Granada","Andalucía","125",5
"APRILIA","SR GT 125","Huelva","Andalucía","125",3
"APRILIA","SR GT 125","Huesca","Aragón","125",1
"APRILIA","SR GT 125","Illes Balears","Illes Balears","125",13
"APRILIA","SR GT 125","Jaén","Andalucía","125",1
"APRILIA","SR GT 125","León","Castilla y León","125",1
"APRILIA","SR GT 125","Lleida","Cataluña","125",1
"APRILIA","SR GT 125","Madrid","Comunidad de Madrid","125",7
"APRILIA","SR GT 125","Málaga","Andalucía","125",20
"APRILIA","SR GT 125","Murcia","Región de Murcia","125",4
"APRILIA","SR GT 125","Navarra","Comunidad Foral de Navarra","125",1
"APRILIA","SR GT 125","Palmas (Las)","Canarias","125",8
"APRILIA","SR GT 125","Pontevedra","Galicia","125",3
"APRILIA","SR GT 125","Rioja (La)","La Rioja","125",1
"APRILIA","SR GT 125","Santa Cruz de Tenerife","Canarias","125",10
"APRILIA","SR GT 125","Sevilla","Andalucía","125",10
"APRILIA","SR GT 125","Tarragona","Cataluña","125",3
"APRILIA","SR GT 125","Valencia/València","Comunidad Valenciana","125",11
"APRILIA","SR GT 125","Zaragoza","Aragón","125",1
"APRILIA","SR GT 200","Albacete","Castilla-La Mancha","174",1
"APRILIA","SR GT 200","Alicante/Alacant","Comunidad Valenciana","174",1
"APRILIA","SR GT 200","Barcelona","Cataluña","174",1
"APRILIA","SR GT 200","Bizkaia","País Vasco","174",1
"APRILIA","SR GT 200","Burgos","Castilla y León","174",1
"APRILIA","SR GT 200","Cádiz","Andalucía","174",1
"APRILIA","SR GT 200","Castellón/Castelló","Comunidad Valenciana","174",1
"APRILIA","SR GT 200","Coruña (A)","Galicia","174",1
"APRILIA","SR GT 200","Granada","Andalucía","174",1
"APRILIA","SR GT 200","Jaén","Andalucía","174",1
"APRILIA","SR GT 200","Málaga","Andalucía","174",2
"APRILIA","SR GT 200","Santa Cruz de Tenerife","Canarias","174",1
"APRILIA","SR GT 200","Tarragona","Cataluña","174",1
"APRILIA","SR GT 200","Toledo","Castilla-La Mancha","174",1
"APRILIA","SR GT 200","Valencia/València","Comunidad Valenciana","174",1
"APRILIA","SX 125","Alicante/Alacant","Comunidad Valenciana","124",1
"APRILIA","SX 125","Cádiz","Andalucía","124",1
"APRILIA","SX 125","Córdoba","Andalucía","124",1
"APRILIA","SX 125","Cuenca","Castilla-La Mancha","124",1
"APRILIA","SX 125","Illes Balears","Illes Balears","124",1
"APRILIA","SX 125","Madrid","Comunidad de Madrid","124",2
"APRILIA","SX 125","Málaga","Andalucía","124",4
"APRILIA","SX 125","Murcia","Región de Murcia","124",1
"APRILIA","SX 125","Santa Cruz de Tenerife","Canarias","124",2
"APRILIA","SX 125","Valencia/València","Comunidad Valenciana","124",4
"APRILIA","SX 125","Zaragoza","Aragón","124",1
"APRILIA","TUAREG 660","Albacete","Castilla-La Mancha","659",1
"APRILIA","TUAREG 660","Barcelona","Cataluña","659",2
"APRILIA","TUAREG 660","Bizkaia","País Vasco","659",1
"APRILIA","TUAREG 660","Cádiz","Andalucía","659",2
"APRILIA","TUAREG 660","Granada","Andalucía","659",2
"APRILIA","TUAREG 660","Huelva","Andalucía","659",1
"APRILIA","TUAREG 660","Jaén","Andalucía","659",1
"APRILIA","TUAREG 660","Madrid","Comunidad de Madrid","659",2
"APRILIA","TUAREG 660","Palmas (Las)","Canarias","659",1
"APRILIA","TUAREG 660","Santa Cruz de Tenerife","Canarias","659",1
"APRILIA","TUAREG 660","Valladolid","Castilla y León","659",1
"APRILIA","TUONO 125","Alicante/Alacant","Comunidad Valenciana","124",2
"APRILIA","TUONO 125","Cádiz","Andalucía","124",1
"APRILIA","TUONO 125","Navarra","Comunidad Foral de Navarra","124",1
"APRILIA","TUONO 125","Palmas (Las)","Canarias","124",1
"APRILIA","TUONO 125","Valencia/València","Comunidad Valenciana","124",1
"APRILIA","TUONO 457","Albacete","Castilla-La Mancha","457",1
"APRILIA","TUONO 457","Navarra","Comunidad Foral de Navarra","457",1
"APRILIA","TUONO 457","Palmas (Las)","Canarias","457",1
"APRILIA","TUONO 457","Santa Cruz de Tenerife","Canarias","457",1
"APRILIA","TUONO 457","Valencia/València","Comunidad Valenciana","457",2
"APRILIA","TUONO 660","Tarragona","Cataluña","659",1
"APRILIA","TUONO 660 FACTORY","Castellón/Castelló","Comunidad Valenciana","659",1
"APRILIA","TUONO 660 FACTORY","Valencia/València","Comunidad Valenciana","659",1
"APRILIA","TUONO V4","Cantabria","Cantabria","1077",1
"APRILIA","TUONO V4","Granada","Andalucía","1077",1
"APRILIA","TUONO V4","Palmas (Las)","Canarias","1077",1
"ARIIC","ARIIC 108","Almería","Andalucía","117",1
"ARIIC","ARIIC 108","Cádiz","Andalucía","117",2
