MARCA_ITV,MODELO_ITV,CILINDRADA_ITV,COUNT
"AJP","AJP PR7","600",12
"AJP","SPR 125 ENDURO","124",1
"ALPINA DI RENANIA","STRADA 125CC","125",2
"ANDES","U3 (125)","124",6
"APRILIA","RS 125","124",16
"APRILIA","RS 250","249",1
"APRILIA","RS 457","457",17
"APRILIA","RS 660","659",29
"APRILIA","RSV4","1099",10
"APRILIA","RX 125","124",20
"APRILIA","SR GT 125","125",202
"APRILIA","SR GT 200","174",16
"APRILIA","SX 125","124",19
"APRILIA","TUAREG 660","659",15
"APRILIA","TUONO 125","124",6
"APRILIA","TUONO 457","457",6
"APRILIA","TUONO 660","659",1
"APRILIA","TUONO 660 FACTORY","659",2
"APRILIA","TUONO V4","1077",3
"ARIIC","ARIIC 108","117",13
"ARIIC","ARIIC 318","276",7
"BAJAJ","DOMINAR D 400","373",13
"BAJAJ","PULSAR NS 125","124",46
"BAJAJ","PULSAR NS 400 Z","373",44
"BENDA","BENDA 302","298",2
"BENDA","CHINCHILLA","476",29
"BENDA","LFC700","677",12
"BENDA","NAPOLEON","476",13
"BENDA","V-CRUISE","125",58
"BENELLI","502C CRUISER","500",2
"BENELLI","BN125","125",44
"BENELLI","IMPERIALE 400","374",1
"BENELLI","LEONCINO 125","125",9
"BENELLI","LEONCINO 500 TRAIL","500",3
"BENELLI","LEONCINO 800","754",4
"BENELLI","LEONCINO 800 TRAIL","754",2
"BENELLI","TNT 125","125",6
"BENELLI","TORNADO 550 35KW","554",2
"BENELLI","TRK 251","249",1
"BENELLI","TRK 502 X","500",2
"BENELLI","TRK 702","698",71
"BENELLI","TRK502","500",3
"BETA","N/A","125",49
"BETA","RR 4T 125 T MY23 MOTAR","125",1
"BETA","RR 4T 350 MY24","349",1
"BMW","C 400 GT","350",68
"BMW","C 400 X","350",49
"BMW","F 800 GS","895",119
"BMW","F 900 GS","895",33
"BMW","F 900 GS ADVENTURE","895",40
"BMW","F 900 R","895",48
"BMW","F 900 R A2","895",21
"BMW","F 900 XR","895",85
"BMW","F 900 XR A2","895",10
"BMW","G 310 GS","313",7
"BMW","G 310 R","313",5
"BMW","K 1600 B","1649",4
"BMW","K 1600 GT","1649",5
"BMW","K 1600 GTL","1649",2
"BMW","M 1000 R","999",6
"BMW","M 1000 XR","999",28
"BMW","R 12","1170",19
"BMW","R 12 G/S","1170",41
"BMW","R 12 NINET","1170",26
"BMW","R 12 NINET A2","1170",2
"BMW","R 1250 R","1254",2
"BMW","R 1250 RT","1254",2
"BMW","R 1300 GS","1300",142
"BMW","R 1300 GS ADVENTURE","1300",126
"BMW","R 1300 R","1300",16
"BMW","R 1300 RS","1300",68
"BMW","R 1300 RT","1300",103
"BMW","R 18","1802",1
"BMW","R 18 CLASSIC","1802",2
"BMW","R 18 ROCTANE","1802",1
"BMW","R 18 TRANSCONTINENTAL","1802",1
"BMW","R NINE T","1170",1
"BMW","R75/6","745",1
"BMW","S 1000 R","999",19
"BMW","S 1000 RR","999",61
"BMW","S 1000 XR","999",54
"BRIXTON","CROSSFIRE125XS","125",2
"BRIXTON","FELSBERG 125 ABS","125",2
"CFMOTO","125 NK","124",3
"CFMOTO","300CL-X","292",1
"CFMOTO","450CL-C","449",4
"CFMOTO","450MT","449",265
"CFMOTO","675SR-R","674",4
"CFMOTO","700CL-X ADV","693",1
"CFMOTO","700MT","693",2
"CFMOTO","800MT","799",12
"CFMOTO","800MT-X","799",2
"CFMOTO","800NK","799",1
"CYCLONE","LS-Z","124",39
"CYCLONE","RA125 PLUS","124",10
"CYCLONE","RA2","125",2
"CYCLONE","RT1","125",57
"CYCLONE","RT2","289",3
"CYCLONE","RT3S","289",2
"CYCLONE","RX1","124",6
"CYCLONE","RX1 PRO","124",31
"CYCLONE","RX401","401",5
"CYCLONE","RX600","550",37
"DAELIM","S16 O LW125P","125",1
"DUCATI","DESERTX","937",4
"DUCATI","DESERTX DISCOVERY","937",2
"DUCATI","DESERTX RALLY","937",3
"DUCATI","DIAVEL V4","1158",2
"DUCATI","DIAVEL V4 DUCATI RED","1158",2
"DUCATI","DUCATI SCRAMBLER","803",2
"DUCATI","HYPERMOTARD 698","659",3
"DUCATI","HYPERMOTARD 698 MONO","659",1
"DUCATI","HYPERMOTARD 698 MONO D","659",3
"DUCATI","HYPERMOTARD 698 MONO R","659",8
"DUCATI","HYPERMOTARD 698 RVE","659",5
"DUCATI","HYPERMOTARD 950","937",4
"DUCATI","HYPERMOTARD 950 REPLIC","937",1
"DUCATI","MONSTER","937",33
"DUCATI","MONSTER DUCATI RED","937",1
"DUCATI","MONSTER SENNA","937",1
"DUCATI","MONSTER SP","937",9
"DUCATI","MULTISTRADA V2","890",46
"DUCATI","MULTISTRADA V4","1158",55
"DUCATI","PANIGALE V2","890",21
"DUCATI","PANIGALE V4","1103",2
