MARCA_ITV,MODELO_ITV,PROVINCIA_VEH,COMUNIDAD_AUTONOMA,CILINDRADA_ITV,COUNT
"AJP","AJP PR7","Alicante/Alacant","Comunidad Valenciana","600",1
"AJP","AJP PR7","Almería","Andalucía","600",1
"AJP","AJP PR7","Badajoz","Extremadura","600",1
"AJP","AJP PR7","Barcelona","Cataluña","600",1
"AJP","AJP PR7","Córdoba","Andalucía","600",1
"AJP","AJP PR7","Granada","Andalucía","600",1
"AJP","AJP PR7","Illes Balears","Illes Balears","600",2
"AJP","AJP PR7","Madrid","Comunidad de Madrid","600",2
"AJP","AJP PR7","Málaga","Andalucía","600",1
"AJP","AJP PR7","Murcia","Región de Murcia","600",1
"AJP","AJP PR7","Navarra","Comunidad Foral de Navarra","600",1
"AJP","AJP PR7","Palmas (Las)","Canarias","600",1
"AJP","SPR 125 ENDURO","Barcelona","Cataluña","124",1
"ALPINA DI RENANIA","STRADA 125CC","Badajoz","Extremadura","125",1
"ANDES","U3 (125)","Barcelona","Cataluña","124",1
"APRILIA","RS 125","Albacete","Castilla-La Mancha","124",1
"APRILIA","RS 125","Castellón/Castelló","Comunidad Valenciana","124",1
"APRILIA","RS 125","Illes Balears","Illes Balears","124",1
"APRILIA","RS 125","Málaga","Andalucía","124",1
"APRILIA","RS 125","Murcia","Región de Murcia","124",2
"APRILIA","RS 457","Alicante/Alacant","Comunidad Valenciana","457",2
"APRILIA","RS 457","Badajoz","Extremadura","457",1
"APRILIA","RS 457","Bizkaia","País Vasco","457",1
"APRILIA","RS 457","Cádiz","Andalucía","457",1
"APRILIA","RS 457","Cantabria","Cantabria","457",1
"APRILIA","RS 457","León","Castilla y León","457",1
"APRILIA","RS 457","Madrid","Comunidad de Madrid","457",4
"APRILIA","RS 457","Málaga","Andalucía","457",2
"APRILIA","RS 457","Murcia","Región de Murcia","457",1
"APRILIA","RS 457","Palmas (Las)","Canarias","457",1
"APRILIA","RS 457","Pontevedra","Galicia","457",1
"APRILIA","RS 457","Santa Cruz de Tenerife","Canarias","457",1
"APRILIA","RS 457","Sevilla","Andalucía","457",1
"APRILIA","RS 457","Soria","Castilla y León","457",1
"APRILIA","RS 457","Tarragona","Cataluña","457",1
